food_number,name_pt,name_en,group,current_relation,current_class,current_label,current_definition,candidates,foodon_release,decision,relation,class,certainty,justification,evidence,reviewer,reviewed_on
205,"Jambo, cru","Rose apple (jambo), raw",Frutas e derivados,type,FOODON_00005306,rose apple (raw),A raw rose apple.,roseapple plant (FOODON_03412020); 16740 - pommarosas (efsa foodex2) (FOODON_03541674); mountain apple plant (FOODON_03412831); Syzygium jambos (NCBITaxon_334483); rose apple (FOODON_00005305),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
554,Vatapá,"Vatapá (dried shrimp, nuts, coconut milk and palm oil)",Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
500,"Doce, de abóbora, cremoso","Pumpkin sweet, creamy (doce de abóbora)",Produtos açucarados,none,,,,butternut squash plant (FOODON_03412509); red kuri squash plant (FOODON_03412523); fuzzy melon plant (FOODON_03412518),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
522,"Chantilly, spray, com gordura vegetal","Whipped cream (chantilly), spray, with vegetable fat",Outros alimentos industrializados,relatedMatch,FOODON_03542683,26830 - cream sprayable (efsa foodex2),The group includes any type of Cream sprayable (it is usually marketed in rigid containers under pressure of a whipping gas). The ingredients added to make it ready-to-spray may be considered minor ingredients. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.[https://en.wikipedia.org/wiki/Whipped_cream] and [https://www.google.co.uk/search?tbm=isch&q=spray cream],dinitrogen oxide (CHEBI_17045); whipped cream (FOODON_03302897); mammalian light whipping cream (30%-36%) (FOODON_03420154); light whipping cream (FOODON_03301796); table cream (whipped) (FOODON_03305256),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
520,"Azeitona, preta, conserva","Olive, black, preserved",Outros alimentos industrializados,type,FOODON_03303700,black olive (canned),"SIREN DB annotation:
* surrounded by 'can, bottle or jar' FOODON:03490194
* whole, natural shape FOODON:03430150
* fully heat-treated FOODON:03440014
* ripe or mature FOODON:03530052
* fruit, peel present FOODON:03420137
* lactic acid fermentation process FOODON:03460101
* sterilization by heating FOODON:03470123","10000238 - olives (perishable) (gs1 gpc) (FOODON_03401179); black olive (raw) (FOODON_03301268); chinese black olive plant (FOODON_03415027); 16510 - chinese black olives (efsa foodex2) (FOODON_03541651); 16500 - chinese olives, black, white (efsa foodex2) (FOODON_03541650)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
544,Quibebe,Quibebe (squash with carne seca),Alimentos preparados,none,,,,,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
56,"Pastel, de carne, frito","Pastel (pastry turnover), beef filling, fried",Cereais e derivados,none,,,,Cribroheros alfari (NCBITaxon_84389),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
188,"Caju, suco concentrado, envasado","Cashew apple, juice concentrate, bottled",Frutas e derivados,none,,,,cashew plant (FOODON_03411221); 16660 - cashew apples (efsa foodex2) (FOODON_03541666); 11310 - cashew nuts (efsa foodex2) (FOODON_03541131),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
499,Cocada branca,"Cocada, white (coconut candy)",Produtos açucarados,relatedMatch,FOODON_03304233,coconut haystacks candy,"SIREN DB annotation:
* whole, shape achieved by forming FOODON:03430147
* seed, skin removed, germ present FOODON:03420132
* water removal process FOODON:03460138
* ingredient: sugar or sugar syrup added FOODON:03460136
* ingredient: vegetable fat or oil added FOODON:03460263",,http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
303,"Merluza, filé, frito","Hake, fillet, fried",Pescados e frutos do mar,relatedMatch,FOODON_03413878,hake,,hake fillet (breaded) (FOODON_03309066); cape hake fillet (raw) (FOODON_03309077); hake fillet (raw) (FOODON_03309095); hake fillet (frozen) (FOODON_03309332); hake fillet (quick-frozen) (FOODON_03316734),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
407,"Frango, peito, com pele, cru","Chicken, breast, with skin, raw",Carnes e derivados,type,FOODON_03303012,chicken breast (raw),"A whole raw chicken breast. SIREN DB annotation:
* whole, natural shape FOODON:03430150
* not heat-treated FOODON:03440003
* light meat FOODON:03530004
* breast (poultry meat cut) FOODON:03530158
* skeletal meat part FOODON:03420175","chicken breast (skinless, raw) (FOODON_02020232); piece of chicken breast (skinless, raw) (FOODON_02020276); piece(s) of chicken breast (skinless, raw) (FOODON_02020358); chicken breast (with skin, raw) (FOODON_02020234); piece of chicken breast (with skin, raw) (FOODON_02020278)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
489,"Ovo, de galinha, inteiro, cru","Egg, chicken, whole, raw",Ovos e derivados,type,FOODON_03301075,"chicken egg (shell off, raw)","A whole raw shell-off hen egg is the egg yolk and egg white obtained from a cracked egg. SIREN DB annotation:
* whole, natural shape FOODON:03430150
* not heat-treated FOODON:03440003
* whole egg FOODON:03420274","brown chicken egg (shell on, raw) (FOODON_03304624); shelled egg (UBERON_0007379); chicken egg (cooked) (FOODON_00005341); chicken egg (FOODON_03316061); chicken egg white (FOODON_02020155)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
41,"Macarrão, trigo, cru, com ovos","Pasta, wheat, raw, with eggs",Cereais e derivados,type,FOODON_03540179,01790 - fresh egg pasta (efsa foodex2),"The group includes any type of fresh egg pasta (i.e. pasta including eggs, not dried, normally needing refrigeration). By default it is not defined if the food items belonging to this group are cooked or not; therefore in case of cooked products (e.g. boiled pasta), the cooking method should be reported with additional facet descriptors. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.[https://en.wikipedia.org/wiki/Pasta] and [https://www.google.co.uk/search?tbm=isch&q=Fresh+egg+pasta]",wheat pasta (FOODON_00002354); durum wheat pasta (FOODON_00001824); durum wheat plant (FOODON_03411079); whole wheat pasta (FOODON_00005528); multi-component wheat pasta dish (FOODON_00002829),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
3,"Arroz, tipo 1, cozido","Rice, white, type 1, cooked",Cereais e derivados,type,FOODON_00004677,white rice (cooked),A cooked endosperm of a white rice plant.,white rice (FOODON_00003787); medium-grain white rice (FOODON_00005309); short-grain white rice (FOODON_03000263); long-grain white rice (uncooked) (FOODON_03000273); long-grain white rice (cooked) (FOODON_00004372),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
475,"Chá, erva-doce, infusão 5%","Tea, fennel, infusion 5%",Bebidas (alcoólicas e não alcoólicas),none,,,,"34400 - tea leaves derivatives and tea ingredients (efsa foodex2) (FOODON_03543440); 34450 - non-fermented tea leaves (green or white tea) (efsa foodex2) (FOODON_03543445); Hohoysi tea (FOODON_00002858); rooibos tea (steeped) (FOODON_00003277); 37270 - non-fermented tea, infusion (efsa foodex2) (FOODON_03543727)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
537,Estrogonofe de carne,Beef stroganoff,Alimentos preparados,type,FOODON_03302094,beef stroganoff with noodles,"SIREN DB annotation:
* semisolid with solid pieces FOODON:03430134
* fully heat-treated FOODON:03440014
* seed, skin removed, germ removed (endosperm) FOODON:03420208
* alcoholated FOODON:03460160
* ingredient: flavoring, spice or herb added FOODON:03460227
* ingredient: dairy product added FOODON:03460242
* packed in gravy or sauce, dairy or egg component FOODON:03480033",pasta dish (us cfr) (FOODON_03400220),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
542,"Macarrão, molho bolognesa","Pasta, bolognese sauce",Alimentos preparados,none,,,,"10000055 - sauces - cooking (perishable) (gs1 gpc) (FOODON_03401192); 10000056 - sauces - cooking (frozen) (gs1 gpc) (FOODON_03401191); 10000057 - sauces - cooking (shelf stable) (gs1 gpc) (FOODON_03401193); pasta (FOODON_03306347); 39590 - pasta-based dishes, uncooked (efsa foodex2) (FOODON_03543959)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
589,"Castanha-do-Brasil, crua","Brazil nut, raw",Nozes e sementes,type,FOODON_03301821,brazilnut (raw),"SIREN DB annotation:
* whole, natural shape FOODON:03430150
* not heat-treated FOODON:03440003
* seed, skin present, germ present FOODON:03420133",brazil nut plant (FOODON_03411463); 11280 - brazil nuts and similar- (efsa foodex2) (FOODON_03541128); 11290 - brazil nuts (efsa foodex2) (FOODON_03541129); brazil nut food product (FOODON_00001663); food allergen labelling about nuts and products thereof (FOODON_03510221),http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
7,"Aveia, flocos, crua","Oats, rolled, raw",Cereais e derivados,type,FOODON_03307110,rolled oats,"A type of lightly processed whole-grain food. Traditionally, they are made from oat groats (hulled grains) that have been dehusked and steamed, before being rolled into flat flakes under heavy rollers and then (optionally) stabilized by being lightly toasted. SIREN DB annotation:
* whole, shape achieved by forming, thickness <0.3 cm. FOODON:03430153
* partially heat-treated FOODON:03440018
* seed, skin removed, germ removed (endosperm) FOODON:03420208
* water removal process FOODON:03460138
* food rolling process FOODON:03460239
* preservation by dehydration or drying FOODON:03470116","03160 - oat rolled grains, wholemeal (efsa foodex2) (FOODON_03540316); 03140 - oat rolled grains (efsa foodex2) (FOODON_03540314); 03150 - oat rolled grains, instant (efsa foodex2) (FOODON_03540315); rolled oats (cooked) (FOODON_00004362); rice or other grain (eurofir) (FOODON_03400814)",http://purl.obolibrary.org/obo/foodon/releases/2026-09-20/foodon.owl,,,,,,,,
